Age (in months),3rd Percentile Stature (in centimeters),5th Percentile Stature (in centimeters),10th Percentile Stature (in centimeters),25th Percentile Stature (in centimeters),50th Percentile Stature (in centimeters),75th Percentile Stature (in centimeters),90th Percentile Stature (in centimeters),95th Percentile Stature (in centimeters),97th Percentile Stature (in centimeters)
24,79.91084,80.72977,81.99171,84.10289,86.4522,88.80525,90.92619,92.19688,93.02265
24.5,80.26037,81.08868,82.36401,84.49471,86.86161,89.22805,91.35753,92.63177,93.45923
25.5,81.00529,81.83445,83.11387,85.25888,87.65247,90.05675,92.22966,93.53407,94.38278
26.5,81.73416,82.56406,83.84716,86.00517,88.42326,90.8626,93.07608,94.40885,95.27762
27.5,82.44846,83.27899,84.56534,86.73507,89.17549,91.64711,93.89827,95.25754,96.14512
28.5,83.14945,83.98045,85.26962,87.44977,89.91041,92.41159,94.69757,96.08149,96.98663
29.5,83.83819,84.66948,85.96098,88.15028,90.62908,93.15719,95.47522,96.88198,97.80345
30.5,84.51558,85.34694,86.64027,88.83745,91.33242,93.88496,96.23239,97.66027,98.59691
31.5,85.18238,86.01357,87.3082,89.51202,92.02127,94.59585,96.97022,98.41758,99.36828
32.5,85.83925,86.66999,87.9654,90.17464,92.69638,95.2908,97.68978,99.15514,100.1189
33.5,86.48678,87.3168,88.61244,90.82592,93.35847,95.97068,98.39218,99.87416,100.8501
34.5,87.12552,87.95452,89.24986,91.46645,94.00823,96.63637,99.07848,100.5759,101.5631
35.5,87.75597,88.58366,89.87816,92.0968,94.64637,97.28875,99.74979,101.2615,102.2593
36.5,88.37864,89.20473,90.49789,92.71756,95.27359,97.9287,100.4072,101.9324,102.9402
37.5,88.93297,89.77301,91.08608,93.3344,95.91475,98.58525,101.069,102.593,103.5983
38.5,89.47916,90.33306,91.66589,93.94268,96.54734,99.23358,101.7234,103.247,104.2503
39.5,90.01766,90.88532,92.23779,94.54291,97.17191,99.87426,102.3709,103.8948,104.8967
40.5,90.54891,91.43025,92.80225,95.13557,97.78898,100.5078,103.012,104.537,105.538
41.5,91.07337,91.96832,93.35972,95.72115,98.39903,101.1348,103.6473,105.1739,106.1747
42.5,91.59152,92.49999,93.91068,96.30009,99.00254,101.7556,104.2771,105.8061,106.8071
43.5,92.10382,93.0257,94.45556,96.87286,99.59998,102.3708,104.9021,106.434,107.4357
44.5,92.61073,93.54592,94.99482,97.43989,100.1918,102.9807,105.5225,107.0579,108.0609
45.5,93.11271,94.06109,95.52888,98.00159,100.7783,103.5858,106.1387,107.6784,108.683
46.5,93.61022,94.57166,96.05817,98.55838,101.36,104.1865,106.7513,108.2956,109.3024
47.5,94.10371,95.07806,96.5831,99.11064,101.9373,104.7831,107.3604,108.9101,109.9193
48.5,94.59361,95.5807,97.10407,99.65875,102.5105,105.3759,107.9665,109.522,110.5342
49.5,95.08035,96.08,97.62147,100.2031,103.0799,105.9654,108.5698,110.1317,111.1473
50.5,95.56435,96.57635,98.13566,100.7439,103.6459,106.5518,109.1706,110.7394,111.7588
51.5,96.046,97.07013,98.64701,101.2817,104.2087,107.1354,109.7693,111.3454,112.369
52.5,96.52568,97.5617,99.15585,101.8166,104.7687,107.7165,110.366,111.95,112.9781
53.5,97.00376,98.05141,99.6625,102.3491,105.3262,108.2953,110.9609,112.5533,113.5863
54.5,97.48058,98.53958,100.1673,102.8792,105.8813,108.872,111.5543,113.1555,114.1937
55.5,97.95648,99.02654,100.6705,103.4074,106.4343,109.4469,112.1464,113.7568,114.8006
56.5,98.43175,99.51256,101.1723,103.9339,106.9855,110.0201,112.7374,114.3574,115.4072
57.5,98.90667,99.99791,101.6731,104.4588,107.535,110.5919,113.3273,114.9575,116.0134
58.5,99.38151,100.4828,102.173,104.9825,108.083,111.1623,113.9164,115.557,116.6194
59.5,99.8565,100.9676,102.6723,105.505,108.6296,111.7316,114.5047,116.1561,117.2254
60.5,100.3318,101.4523,103.1712,106.0265,109.1751,112.2998,115.0924,116.755,117.8314
61.5,100.8077,101.9372,103.6697,106.5472,109.7196,112.8671,115.6795,117.3536,118.4374
62.5,101.2843,102.4225,104.1682,107.0673,110.2631,113.4335,116.2661,117.9521,119.0435
63.5,101.7618,102.9082,104.6666,107.5868,110.8058,113.9992,116.8522,118.5505,119.6498
64.5,102.2401,103.3945,105.1651,108.1058,111.3477,114.5641,117.438,119.1487,120.2562
65.5,102.7195,103.8814,105.6638,108.6244,111.889,115.1284,118.0234,119.7469,120.8627
66.5,103.2,104.369,106.1627,109.1427,112.4296,115.6921,118.6084,120.345,121.4694
67.5,103.6815,104.8574,106.6619,109.6607,112.9696,116.2551,119.1931,120.943,122.0761
68.5,104.1642,105.3466,107.1614,110.1785,113.509,116.8176,119.7774,121.5408,122.6829
69.5,104.6479,105.8364,107.6611,110.696,114.0479,117.3794,120.3613,122.1384,123.2897
70.5,105.1326,106.327,108.1612,111.2132,114.5861,117.9407,120.9447,122.7359,123.8965
71.5,105.6183,106.8182,108.6614,111.7302,115.1238,118.5012,121.5277,123.333,124.5031
72.5,106.1048,107.3099,109.1619,112.2469,115.6609,119.0611,122.1101,123.9297,125.1095
73.5,106.5921,107.8021,109.6624,112.7631,116.1973,119.6203,122.6918,124.526,125.7156
74.5,107.0799,108.2946,110.1629,113.2789,116.7329,120.1786,123.2729,125.1217,126.3212
75.5,107.5682,108.7873,110.6633,113.7942,117.2678,120.7361,123.8532,125.7168,126.9263
76.5,108.0566,109.2801,111.1634,114.3089,117.8018,121.2926,124.4327,126.3111,127.5307
77.5,108.5451,109.7727,111.6631,114.8229,118.3348,121.848,125.0111,126.9045,128.1344
78.5,109.0335,110.2649,112.1623,115.336,118.8668,122.4024,125.5884,127.4969,128.7371
79.5,109.5214,110.7566,112.6608,115.8481,119.3977,122.9555,126.1646,128.0882,129.3387
80.5,110.0086,111.2476,113.1583,116.3592,119.9272,123.5073,126.7394,128.6782,129.9391
81.5,110.495,111.7375,113.6548,116.869,120.4554,124.0576,127.3128,129.2668,130.5381
82.5,110.9801,112.2263,114.1499,117.3774,120.9821,124.6064,127.8846,129.8538,131.1356
83.5,111.4638,112.7135,114.6436,117.8842,121.5072,125.1535,128.4547,130.4392,131.7314
84.5,111.9459,113.1991,115.1356,118.3893,122.0305,125.6987,129.023,131.0226,132.3253
85.5,112.4259,113.6827,115.6257,118.8926,122.552,126.2421,129.5893,131.6041,132.9172
86.5,112.9036,114.1642,116.1136,119.3938,123.0714,126.7834,130.1535,132.1834,133.507
87.5,113.3789,114.6431,116.5992,119.8927,123.5886,127.3225,130.7154,132.7605,134.0943
88.5,113.8513,115.1194,117.0822,120.3893,124.1035,127.8594,131.275,133.335,134.6792
89.5,114.3206,115.5927,117.5625,120.8833,124.616,128.3937,131.8321,133.907,135.2615
90.5,114.7867,116.0629,118.0398,121.3746,125.1259,128.9256,132.3865,134.4763,135.8409
91.5,115.2491,116.5297,118.5139,121.863,125.6331,129.4547,132.9381,135.0426,136.4173
92.5,115.7077,116.9928,118.9847,122.3483,126.1374,129.981,133.4868,135.606,136.9906
93.5,116.1623,117.4521,119.4519,122.8305,126.6388,130.5044,134.0325,136.1662,137.5607
94.5,116.6127,117.9074,119.9153,123.3092,127.137,131.0247,134.5751,136.7231,138.1274
95.5,117.0587,118.3585,120.3749,123.7845,127.632,131.5419,135.1144,137.2767,138.6906
96.5,117.5,118.8053,120.8305,124.2562,128.1237,132.0559,135.6504,137.8267,139.2502
97.5,117.9366,119.2475,121.2819,124.7242,128.6119,132.5664,136.1829,138.3731,139.806
98.5,118.3683,119.6851,121.729,125.1882,129.0966,133.0736,136.7118,138.9159,140.358
99.5,118.7949,120.1179,122.1716,125.6484,129.5777,133.5771,137.2371,139.4548,140.9062
100.5,119.2165,120.5459,122.6099,126.1045,130.055,134.0771,137.7587,139.9899,141.4503
101.5,119.633,120.969,123.0435,126.5565,130.5286,134.5734,138.2765,140.5211,141.9904
102.5,120.0442,121.3872,123.4726,127.0044,130.9983,135.066,138.7905,141.0484,142.5263
